,id,r=25,r=50,r=75,r=100,,,id,r=25,r=50,r=75,r=100
1,V60,1,0.98,1,1,,1,V60,1,0.98,1,1
15,V551,1,0.98,1,1,,15,V551,1,0.98,1,1
16,V554,1,0.98,0.97,0.94,,16,V554,1,0.98,0.97,0.94
17,V557,1,0.98,1,1,,17,V557,1,0.98,1,1
3,V113,1,0.97,0.58,0.48,,3,V113,1,0.97,0.58,0.48
6,V161,1,0.97,1,1,,6,V161,1,0.97,1,1
8,V296,1,0.97,1,1,,8,V296,1,0.97,1,1
10,V386,1,0.97,1,1,,10,V386,1,0.97,1,1
12,V432,1,0.97,1,1,,12,V432,1,0.97,1,1
14,V511,1,0.97,0.92,0.9,,14,V511,1,0.97,0.92,0.9
7,V206,1,0.95,0.91,0.05,,7,V206,1,0.95,0.91,0.05
2,V104,1,0.94,0.91,0.81,,2,V104,1,0.94,0.91,0.81
9,V342,1,0.91,0,0.36,,9,V342,1,0.91,0,0.36
13,V478,1,0.51,0.13,0,,13,V478,1,0.51,0.13,0
5,V156,1,0.3,0.01,0,,5,V156,1,0.3,0.01,0
4,V153,1,0.01,0.03,0.04,,4,V153,1,0.01,0.03,0.04
11,V426,1,0,0.02,0.03,,11,V426,1,0,0.02,0.03
18,V248,0.99,0.96,0.79,0.8,,18,V248,0.99,0.96,0.79,0.8
19,V288,0.99,0,0.06,0.1,,19,V288,0.99,0,0.06,0.1
20,V291,0.99,0,0.15,0.13,,20,V291,0.99,0,0.15,0.13
23,V520,0.98,0.94,0.64,0.61,,23,V520,0.98,0.94,0.64,0.61
22,V429,0.98,0.14,0,0,,22,V429,0.98,0.14,0,0
21,V352,0.98,0.01,0.11,0.11,,21,V352,0.98,0.01,0.11,0.11
24,V214,0.97,0.01,0.13,0.12,,24,V214,0.97,0.01,0.13,0.12
25,V39,0.96,0.97,0.98,0.9,,25,V39,0.96,0.97,0.98,0.9
26,V421,0.94,0.01,0.02,0.04,,26,V421,0.94,0.01,0.02,0.04
27,V349,0.93,0.37,0.53,0.42,,27,V349,0.93,0.37,0.53,0.42
28,V171,0.9,0.01,0,0.02,,28,V171,0.9,0.01,0,0.02
29,V80,0.89,0.15,0.08,0.1,,29,V80,0.89,0.15,0.08,0.1
30,V125,0.87,0.12,0.16,0.16,,30,V125,0.87,0.12,0.16,0.16
31,V22,0.81,0.73,0.98,0.95,,31,V22,0.81,0.73,0.98,0.95
32,V130,0.75,0.03,0,0,,32,V130,0.75,0.03,0,0
33,V299,0.67,0.93,0.99,0.99,,33,V299,0.67,0.93,0.99,0.99
34,V57,0.66,0,0,0,,34,V57,0.66,0,0,0
35,V211,0.64,0.38,0.44,0.38,,35,V211,0.64,0.38,0.44,0.38
36,V34,0.58,0.37,0.42,0.75,,36,V34,0.58,0.37,0.42,0.75
37,V164,0.57,0.91,0.99,0.99,,37,V164,0.57,0.91,0.99,0.99
38,V369,0.56,0.67,0.31,0.18,,38,V369,0.56,0.67,0.31,0.18
39,V38,0.49,0.56,0.52,0.27,,39,V38,0.49,0.56,0.52,0.27
40,V358,0.46,0.04,0.05,0.01,,52,V435,0,0.98,0.99,1
41,V189,0.41,0.01,0,0,,53,V390,0,0.62,0.77,0.86
42,V176,0.36,0.24,0.06,0.01,,54,V56,0,0.28,0.58,0.48
43,V366,0.31,0.22,0.1,0.04,,55,V300,0,0.01,0.83,0.01
44,V37,0.28,0.01,0,0,,56,V165,0,0,0.68,0
45,V273,0.26,0.05,0.02,0,,,,,,,
46,V412,0.25,0.19,0.09,0.08,,,,,,,
47,V272,0.24,0.35,0.5,0.28,,,,,,,
48,V65,0.22,0,0,0,,,,,,,
49,V66,0.2,0,0,0,,,,,,,
50,V139,0.2,0.19,0.13,0.08,,,,,,,
51,V11,0.18,0.27,0.28,0.33,,,,,,,
52,V435,0,0.98,0.99,1,,,,,,,
53,V390,0,0.62,0.77,0.86,,,,,,,
54,V56,0,0.28,0.58,0.48,,,,,,,
55,V300,0,0.01,0.83,0.01,,,,,,,
56,V165,0,0,0.68,0,,,,,,,
