"","id","r=25","r=50","r=75","r=100"
"1","V60",0,0,0,0
"2","V104",0,0,0,0
"3","V113",0,0,0,0
"4","V153",0,0,0,0
"5","V156",0,0,0,0
"6","V161",0,0,0,0
"7","V206",0,0,0,0
"8","V214",0,0,0,0
"9","V248",0,0,0,0
"10","V296",0,0,0,0
"11","V342",0,0,0,0
"12","V386",0,0,0,0
"13","V426",0,0,0,0
"14","V432",0,0,0,0
"15","V511",0,0,0,0
"16","V520",0,0,0,0
"17","V551",0,0,0,0
"18","V557",0,0,0,0
"19","V39",0,0,0,0
"20","V352",0,0,0,0
"21","V429",0,0,0,0
"22","V554",0,0,0,0
"23","V288",0,0,0,0
"24","V291",0,0,0,0
"25","V125",0,0,0,0
"26","V478",0,0,0,0
"27","V349",0,0,0,0
"28","V80",0,0,0,0
"29","V22",0,0,0,0
"30","V130",0,0,0,0
"31","V38",0,0,0,0
"32","V211",0,0,0,0
"33","V34",0,0,0,0
"34","V369",0,0,0,0
"35","V299",0,0,0,0
"36","V164",0,0,0,0
"37","V57",0,0,0,0
"38","V37",0,0,0,0
"39","V176",0,0,0,0
"40","V358",0,0,0,0
"41","V435",0,0,0,0
"42","V390",0,0,0,0
"43","V56",0,0,0,0
"44","V272",0,0,0,0
