,id,r=25,r=50,r=75,r=100,,,,,,,,,
1,V39,1,0.94,0.97,0.92,,,,1,V39,1,0.94,0.97,0.92
2,V60,1,1,0.98,0.99,,,,2,V60,1,1,0.98,0.99
5,V161,1,1,0.98,0.98,,,,5,V161,1,1,0.98,0.98
14,V551,1,1,0.98,0.99,,,,14,V551,1,1,0.98,0.99
15,V554,1,1,0.93,0.95,,,,15,V554,1,1,0.93,0.95
16,V557,1,1,0.98,0.99,,,,16,V557,1,1,0.98,0.99
6,V206,1,0.98,0.05,0.03,,,,6,V206,1,0.98,0.05,0.03
3,V104,1,0.97,0.76,0.84,,,,3,V104,1,0.97,0.76,0.84
4,V113,1,0.95,0.49,0.56,,,,4,V113,1,0.95,0.49,0.56
11,V342,1,0.95,0.22,0.29,,,,11,V342,1,0.95,0.22,0.29
8,V248,1,0.93,0.82,0.84,,,,8,V248,1,0.93,0.82,0.84
10,V296,1,0.49,0.98,0.99,,,,10,V296,1,0.49,0.98,0.99
13,V432,1,0.47,0.98,0.98,,,,13,V432,1,0.47,0.98,0.98
7,V214,1,0.01,0.08,0.18,,,,7,V214,1,0.01,0.08,0.18
12,V352,1,0.01,0.04,0.13,,,,12,V352,1,0.01,0.04,0.13
9,V288,1,0,0.01,0.06,,,,9,V288,1,0,0.01,0.06
17,V156,0.99,0,0,0,,,,,,,,,
20,V511,0.99,0.99,0.92,0.82,,,,,,,,,
18,V386,0.99,0.98,0.98,0.99,,,,,,,,,
21,V520,0.99,0.86,0.6,0.62,,,,,,,,,
19,V429,0.99,0,0,0,,,,17,V156,0.99,0,0,0
22,V291,0.98,0,0.04,0.11,,,,20,V511,0.99,0.99,0.92,0.82
23,V125,0.95,0.14,0.05,0.2,,,,18,V386,0.99,0.98,0.98,0.99
24,V478,0.93,0.66,0,0,,,,21,V520,0.99,0.86,0.6,0.62
25,V349,0.92,0.3,0.35,0.36,,,,19,V429,0.99,0,0,0
26,V80,0.89,0.09,0.04,0.02,,,,,,,,,
27,V38,0.88,0.67,0.35,0.27,,,,,,,,,
28,V130,0.8,0.02,0,0.01,,,,,,,,,
29,V22,0.79,0.58,0.92,0.87,,,,,,,,,
30,V299,0.76,0.97,0.89,0.98,,,,,,,,,
31,V34,0.7,0.33,0.28,0.62,,,,,,,,,
32,V164,0.67,0.95,0.85,0.93,,,,,,,,,
33,V211,0.65,0.46,0.32,0.42,,,,,,,,,
34,V37,0.52,0.02,0.01,0,,,,,,,,,
35,V57,0.52,0.01,0,0,,,,,,,,,
36,V369,0.52,0.6,0.32,0.19,,,,,,,,,
37,V358,0.46,0.04,0.03,0.03,,,,,,,,,
38,V176,0.45,0.3,0.05,0.08,,,,,,,,,
39,V64,0.43,0,0.01,0.02,,,,,,,,,
40,V426,0.41,0,0.01,0.02,,,,,,,,,
41,V435,0.01,1,0.98,0.99,,,,,,,,,
42,V390,0.05,0.77,0.68,0.86,,,,,,,,,
43,V272,0.19,0.43,0.38,0.35,,,,,,,,,
44,V56,0.1,0.35,0.5,0.49,,,,,,,,,
